==> Labeled 图片路径: ../meanteacher_original/data/images
==> Unlabeled 图片路径: ../meanteacher_original/data/elea_dataset/elea_dataset/my_data/images
==> 使用 GPU: 1 (PyTorch 识别为 cuda:0)
==> 创建学生、教师和鉴别器模型...
==> 数据准备完毕: Labeled=21599, Unlabeled=74
Error loading image ../meanteacher_original/data/images/r93dLeVRk3U.003.4.jpg: [Errno 2] No such file or directory: '/public/lighting/fananqi/mean-teacher/meanteacher_original/data/images/r93dLeVRk3U.003.4.jpg'
Error loading image ../meanteacher_original/data/images/r93dLeVRk3U.003.2.jpg: [Errno 2] No such file or directory: '/public/lighting/fananqi/mean-teacher/meanteacher_original/data/images/r93dLeVRk3U.003.2.jpg'
Error loading image ../meanteacher_original/data/images/aLvpOYqzErk.000.3.jpg: [Errno 2] No such file or directory: '/public/lighting/fananqi/mean-teacher/meanteacher_original/data/images/aLvpOYqzErk.000.3.jpg'
Step [1200/1349] Total: 0.019 | Sup: 0.019 | Cons: 0.000 | Style: 0.000 | Ortho: 0.000
Step [1220/1349] Total: 0.025 | Sup: 0.025 | Cons: 0.000 | Style: 0.000 | Ortho: 0.000
Step [1240/1349] Total: 0.017 | Sup: 0.016 | Cons: 0.000 | Style: 0.000 | Ortho: 0.000
Step [1260/1349] Total: 0.022 | Sup: 0.022 | Cons: 0.000 | Style: 0.000 | Ortho: 0.000
Step [1280/1349] Total: 0.019 | Sup: 0.019 | Cons: 0.000 | Style: 0.000 | Ortho: 0.000
Step [1300/1349] Total: 0.018 | Sup: 0.017 | Cons: 0.000 | Style: 0.000 | Ortho: 0.000
Step [1320/1349] Total: 0.015 | Sup: 0.015 | Cons: 0.000 | Style: 0.000 | Ortho: 0.000
Step [1340/1349] Total: 0.026 | Sup: 0.026 | Cons: 0.000 | Style: 0.000 | Ortho: 0.000
Error loading image ../meanteacher_original/data/images/r93dLeVRk3U.003.1.jpg: [Errno 2] No such file or directory: '/public/lighting/fananqi/mean-teacher/meanteacher_original/data/images/r93dLeVRk3U.003.1.jpg'
Error loading image ../meanteacher_original/data/images/r93dLeVRk3U.003.3.jpg: [Errno 2] No such file or directory: '/public/lighting/fananqi/mean-teacher/meanteacher_original/data/images/r93dLeVRk3U.003.3.jpg'
Epoch 2 完成. 耗时: 568.3s | Val Loss: 0.018753
    ==> 👑 发现更优模型 (Val Loss: 0.018753), 已保存 best_model.pth
Error loading image ../meanteacher_original/data/images/r93dLeVRk3U.003.4.jpg: [Errno 2] No such file or directory: '/public/lighting/fananqi/mean-teacher/meanteacher_original/data/images/r93dLeVRk3U.003.4.jpg'
Error loading image ../meanteacher_original/data/images/r93dLeVRk3U.003.2.jpg: [Errno 2] No such file or directory: '/public/lighting/fananqi/mean-teacher/meanteacher_original/data/images/r93dLeVRk3U.003.2.jpg'
